Pair,Momentum_Score,Rank,RSI_15,Volume_Ratio_15,Price_Change_15,RSI_30,Volume_Ratio_30,Price_Change_30,RSI_60,Volume_Ratio_60,Price_Change_60,RSI_240,Volume_Ratio_240,Price_Change_240,RSI_1D,Volume_Ratio_1D,Price_Change_1D
IOTX/USDT,0.5774630159793187,24,53.9817860337451,1.9669792523006777,1.0690423162583391,50.35457624450379,0.7862828038902896,-0.04405286343613683,45.14551873556896,1.0988478479214565,0.044091710758375625,40.77322521320381,0.586073302629975,-3.8966539601863652,48.114927006405615,0.4339069533029947,3.3242258652094625
RED/USDT,0.5727394291704595,25,49.50329777660194,0.5517661387114497,1.1458333333333373,50.89326928997529,0.8370621627895625,-1.296390442297928,52.918386055209844,1.1430704849041935,8.981195621667126,54.37987875290172,3.978090137347255,-4.147124166872386,61.73685464138584,2.308835921625456,16.95272508280639
ETHFI/USDT,0.5718125803146671,26,55.07810732063366,0.8802118683492555,2.2393822393822407,52.681394017561175,0.7479499649865982,-0.33450409767519684,49.929887419972495,1.1646652188620685,4.775305601969925,47.17158764719989,0.7751030517127551,-3.4843205574912837,51.57914535271466,0.7637097688884588,0.999661131819725
BSW/USDT,0.5682538301537894,27,54.80531217466445,0.3118512847006031,1.0976948408342413,52.00440163969099,0.39899793343804646,-0.5399568034557203,53.296495483498106,0.7544078630700652,8.736717827626912,53.3793971897332,1.5627063749600498,5.501432664756441,52.03338104840929,0.2463123179094967,16.15141955835962
BNT/USDT,0.5660336306152594,28,49.137896680043546,1.6395278940029814,-0.1265422334704156,42.50761126286708,1.3834117385705513,-2.2474519416849428,40.49494750783821,1.5595129566348667,-1.0965055412690843,42.633108639582886,0.8378017766920414,-2.3369425109564435,57.11675199546384,0.5803631045619351,10.64764796916519
LRC/USDT,0.5658907297859311,29,46.659240519835876,2.1905852499950953,-0.5539853024307567,44.17066441790496,1.4602591537529412,-1.1237217664906178,43.00428843455197,1.5650621026503047,1.1495574203931496,39.65042163659485,0.8118739807419931,-4.616384915474643,50.022235958016395,0.5472386546098196,9.79169265311213
LDO/USDT,0.5651875945883574,30,50.531775587693886,1.1654545702077939,0.9864603481624745,45.72756953154661,0.9494922413906919,-2.539208364451073,41.94805946520729,2.446156556906465,-0.8829393335232,41.313695450184255,0.9652908510106533,-4.615244013891426,55.22842797879624,1.2161433876425762,23.62130177514793
LTC/USDT,0.5626955585194958,31,50.27749552609862,1.4012271690774711,0.918964076858809,48.1929236213072,0.9299705991527415,0.3044280442804412,44.77523056242585,1.192169757469764,0.34151744508029386,39.611514838535896,0.5308880327802259,-5.354344419293057,58.09035617136227,1.0447944462376062,14.666807254323066
1000000MOG/USDT,0.5603892350797516,32,51.851878227795545,1.4387337156722284,1.8246110325318279,45.25034079143082,1.043461541250976,-2.1346023113528276,40.26221722547624,1.2706786040320983,-1.672925913280981,41.3367943693121,0.5842072341755921,-8.030641557612505,50.355207074426175,0.5432212337447115,-1.0774826710589558
BB/USDT,0.5601977941163967,33,51.642113829351395,1.221391033265827,1.367976496511193,48.1315236121752,0.8580729119546107,-1.313907758312477,45.42024401017934,0.9060459646920097,2.403935400037122,44.97767382667616,0.6678755924809338,-1.9637462235649576,52.97029625382055,1.2600508999106468,13.755795981452861
